rank,topic,interest_share_pct,attention_index,share_delta_pct,previous_interest_share_pct,score,previous_score,delta,delta_rate,keyword_count,avg_keyword_score,top_keywords,date,previous_date
1,食（カフェ・グルメ）,5.55,100.0,-2.2,7.75,3386.2,58.04,3328.16,5734.25,44,76.96,"カフェ イン, コン カフェ, 近く カフェ, カフェ オレ, コラボ カフェ",2026-04-18,2026-04-17
2,音楽,5.29,95.21,-0.71,6.0,3224.0,44.91,3179.09,7078.8,38,84.84,"音楽 アプリ, 音楽 番組, 音楽 無料, youtube 音楽, 音楽 英語",2026-04-18,2026-04-17
3,美容・メイク,5.14,92.61,1.7299999999999995,3.41,3135.8,25.5,3110.3,12197.25,49,64.0,"美容 外科, 湘南 美容, 美容 クリニック, 湘南 美容 外科, 美容 皮膚 科",2026-04-18,2026-04-17
4,旅行,4.94,88.87,-1.6999999999999993,6.64,3009.2,49.71,2959.49,5953.51,44,68.39,"修学 旅行, 海外 旅行, 旅行 おすすめ, 日本 旅行, 韓国",2026-04-18,2026-04-17
5,ファッション,4.81,86.55,3.3899999999999997,1.42,2930.6,10.66,2919.94,27391.56,42,69.78,"メンズ カット, ファッション メンズ, 楽天 ファッション, レディース ファッション, ファッション ブランド",2026-04-18,2026-04-17
6,ゲーム,4.75,85.48,-3.58,8.33,2894.4,62.38,2832.02,4539.95,39,74.22,"ゲーム 無料, カード ゲーム, google ゲーム, ゲーム センター, ヘビ ゲーム",2026-04-18,2026-04-17
7,恋愛,4.73,85.23,3.4700000000000006,1.26,2886.0,9.46,2876.54,30407.4,48,60.12,"診断, 診断 恋愛, mbti 恋愛, mbti, 恋愛 病院",2026-04-18,2026-04-17
8,アニメ・漫画,4.57,82.35,-8.26,12.83,2788.6,96.09,2692.5099999999998,2802.07,40,69.72,"アニメ キャラ, アニメ 2026, コナン アニメ, d アニメ ストア, アニメ ランキング",2026-04-18,2026-04-17
9,スポーツ,4.53,81.64,-2.3999999999999995,6.93,2764.4,51.88,2712.52,5228.45,38,72.75,"プロ 野球, 高校 野球, 野球 速報, プロ 野球 速報, 大学 野球",2026-04-18,2026-04-17
10,仕事・キャリア,4.31,77.61,3.2399999999999993,1.07,2628.0,8.0,2620.0,32750.0,36,73.0,"マイナビ, マイナビ 転職, 求人, 転職 エージェント, 転職 面接",2026-04-18,2026-04-17
11,芸能・推し,4.07,73.19,3.41,0.66,2478.4,4.95,2473.4500000000003,49968.69,37,66.98,"推し 活, 推し, 推し 活 リクエスト, 推し 活 グッズ, usen 推し 活",2026-04-18,2026-04-17
12,お金（投資・節約）,4.01,72.26,3.1399999999999997,0.87,2447.0,6.54,2440.46,37315.9,37,66.14,"積立 nisa, 投資, nisa 楽天, sbi, nisa sbi",2026-04-18,2026-04-17
13,健康・医療,4.0,72.0,1.9300000000000002,2.07,2438.0,15.5,2422.5,15629.03,33,73.88,"健康 保険, 健康 診断, 国民 健康 保険, 健康 保険 組合, 健康 保険 料",2026-04-18,2026-04-17
14,副業・稼ぐ,3.83,68.87,3.54,0.29,2332.0,2.17,2329.83,107365.44,41,56.88,"在宅 副業, 副業 バイト, バイト, 副業 おすすめ, 確定 申告",2026-04-18,2026-04-17
15,住まい・暮らし,3.72,66.99,2.89,0.83,2268.4,6.25,2262.15,36194.4,31,73.17,"lowya 推し 活 収納, 引越し, 引っ越し 費用, 引っ越し 手続き, 引っ越し 挨拶",2026-04-18,2026-04-17
