date,topic,interest_share_pct,attention_index,score,keyword_count
2026-04-11,アニメ・漫画,13.91,100.0,120.85,2
2026-04-11,車・バイク,9.94,71.49,86.4,1
2026-04-11,ペット,8.45,60.78,73.45,1
2026-04-11,スポーツ,7.99,57.47,69.45,2
2026-04-11,ゲーム,7.95,57.14,69.05,2
2026-04-11,食（カフェ・グルメ）,7.72,55.48,67.05,2
2026-04-11,旅行,7.12,51.22,61.9,2
2026-04-11,アダルト・性,6.47,46.55,56.25,2
2026-04-11,音楽,5.89,42.37,51.2,2
2026-04-11,ガジェット・家電,5.12,36.82,44.5,1
2026-04-11,占い・スピリチュアル,3.4,24.41,29.5,1
2026-04-11,美容・メイク,3.27,23.5,28.4,4
2026-04-11,日常・雑談,2.55,18.33,22.15,1
2026-04-11,ファッション,1.44,10.38,12.549999999999999,2
2026-04-11,恋愛,1.36,9.76,11.8,2
2026-04-11,筋トレ・フィットネス,1.23,8.85,10.7,2
2026-04-11,健康・医療,1.21,8.73,10.55,1
2026-04-11,学び・資格,0.97,6.99,8.45,1
2026-04-11,住まい・暮らし,0.85,6.08,7.35,1
2026-04-11,仕事・キャリア,0.77,5.5,6.65,1
2026-04-11,芸能・推し,0.73,5.25,6.35,2
2026-04-11,お金（投資・節約）,0.63,4.55,5.5,1
2026-04-11,政治・社会,0.48,3.43,4.15,1
2026-04-11,副業・稼ぐ,0.27,1.94,2.35,2
2026-04-11,育児・家庭,0.27,1.94,2.35,1
2026-04-12,アニメ・漫画,13.12,100.0,109.67,2
2026-04-12,車・バイク,10.04,76.52,83.92,1
2026-04-12,ペット,8.7,66.34,72.75,1
2026-04-12,食（カフェ・グルメ）,7.93,60.41,66.25,2
2026-04-12,スポーツ,7.78,59.27,65.0,2
2026-04-12,ゲーム,7.52,57.29,62.83,2
2026-04-12,旅行,6.29,47.94,52.58,2
2026-04-12,音楽,5.98,45.55,49.959999999999994,2
2026-04-12,アダルト・性,5.89,44.92,49.260000000000005,2
2026-04-12,ガジェット・家電,5.31,40.5,44.42,1
2026-04-12,占い・スピリチュアル,4.11,31.35,34.38,1
2026-04-12,美容・メイク,3.29,25.08,27.5,4
2026-04-12,日常・雑談,2.98,22.69,24.88,1
2026-04-12,健康・医療,1.52,11.55,12.67,1
2026-04-12,ファッション,1.42,10.83,11.879999999999999,2
2026-04-12,恋愛,1.25,9.5,10.42,2
2026-04-12,筋トレ・フィットネス,1.24,9.46,10.379999999999999,2
2026-04-12,学び・資格,1.13,8.63,9.46,1
2026-04-12,住まい・暮らし,0.96,7.29,8.0,1
2026-04-12,仕事・キャリア,0.94,7.14,7.83,1
2026-04-12,芸能・推し,0.78,5.96,6.54,2
2026-04-12,お金（投資・節約）,0.7,5.32,5.83,1
2026-04-12,政治・社会,0.52,3.99,4.38,1
2026-04-12,育児・家庭,0.31,2.35,2.58,1
2026-04-12,副業・稼ぐ,0.29,2.24,2.46,2
2026-04-13,アニメ・漫画,12.36,100.0,93.58,2
2026-04-13,車・バイク,9.95,80.5,75.33,1
2026-04-13,ペット,8.37,67.73,63.38,1
2026-04-13,ゲーム,7.31,59.13,55.33,2
